county_fips,year,outcome_year,y,lag_1,lag_3_mean_obs,lag_5_mean_obs,years_since_last_obs,sample_weight
51111,2013,2014,1,2.8599999,3.3066666000000002,3.31399994,1,1188.811230378015
51111,2014,2015,1,4.4499998,3.4733331999999995,3.42999992,1,1191.0112894836534
51111,2015,2016,1,4.4499998,3.9199998333333332,3.76399988,1,1191.0112894836534
51111,2016,2017,1,4.1300001,4.3433332333333325,3.7999999000000004,1,1210.6537237129849
51111,2017,2018,1,3.8800001,4.153333333333333,3.95399994,1,1211.3401749654595
51111,2018,2019,,5.1999998,4.403333333333333,4.421999919999999,1,1211.5385081360964
51113,2005,2006,0,2.1900001,2.2766667333333337,1.456000044,1,1324.2008527762168
51113,2006,2007,0,2.4100001,2.746666766666667,1.9020000620000002,1,1327.800774780051
51113,2007,2008,0,1.36,1.9866667333333334,2.1200000599999997,1,1323.5294117647059
51113,2008,2009,0,1.8099999,1.86,2.28200004,1,1325.9669240865705
51113,2009,2010,0,1.51,1.5599999666666668,1.8560000200000002,1,1324.503311258278
51113,2010,2011,0,2.76,2.0266666333333334,1.97,1,1123.1884057971015
51113,2011,2012,0,2.5599999,2.2766666333333334,1.9999999600000002,1,1367.1875534057638
51113,2012,2013,0,2.1900001,2.5033333333333334,2.1659999799999996,1,1369.8629511478105
51113,2013,2014,0,1.75,2.1666666666666665,2.154,1,1371.4285714285713
51113,2014,2015,0,2.6300001,2.190000066666667,2.37800002,1,1368.82124072923
51113,2015,2016,0,2.1900001,2.190000066666667,2.26400004,1,1369.8629511478105
51113,2016,2017,0,0.079999998,1.6333333993333332,1.7680000595999998,1,1250.0000312500008
51113,2017,2018,0,0.47,0.9133333659999999,1.4240000395999999,1,1276.5957446808513
51113,2018,2019,,1.11,0.5533333326666666,1.2960000396,1,1261.261261261261
51115,2008,2009,0,2.3499999,2.4066666333333333,1.653999988,1,553.1915129017666
51115,2009,2010,0,2.1700001,2.046666666666667,2.022000006,1,552.9953662214116
51115,2010,2011,0,1.62,2.046666666666667,2.2020000000000004,1,617.2839506172838
51115,2011,2012,0,1.99,1.9266667000000002,1.95,1,653.2663316582914
51115,2012,2013,0,1.53,1.7133333333333336,1.932,1,653.59477124183
51115,2013,2014,0,2.5999999,2.0399999666666666,1.982,1,653.8461789940839
51115,2014,2015,0,1.83,1.9866666333333332,1.9139999799999998,1,655.7377049180328
51115,2015,2016,0,2.1400001,2.19,2.018,1,654.2055769062815
51115,2016,2017,1,3.23,2.4000000333333333,2.266,1,588.2352941176471
51115,2017,2018,1,3.9000001,3.0900000666666667,2.74000002,1,589.7435746219596
51115,2018,2019,,4.9200001,4.0166667333333335,3.20400006,1,589.4308823286406
51117,2014,2015,1,4.0999999,5.2233332,5.33799992,1,3243.902518143964
51117,2015,2016,0,4.3499999,4.966666533333334,5.26399994,1,3241.379384859296
51117,2016,2017,,3.72,4.056666600000001,4.7479999,1,3494.623655913978
51119,2005,2006,1,3.6800001,2.7100000333333334,1.71000002,1,815.217369151702
51119,2006,2007,1,4.1700001,3.5433334,2.5160000399999998,1,815.3477022698393
51119,2007,2008,1,2.9400001,3.5966667666666665,3.0480000599999997,1,816.3265028460373
51119,2008,2009,0,3.4400001,3.516666766666667,3.4020000799999996,1,813.9534647106551
51119,2009,2010,1,2.21,2.8633333999999997,3.2880000799999998,1,814.4796380090498
51119,2010,2011,0,4.1300001,3.2600000666666666,3.3780000799999996,1,920.0968300218684
51119,2011,2012,,1.78,2.7066667,2.90000006,1,730.3370786516854
51119,2013,2014,1,3.02,2.9766667000000004,2.91600004,2,728.476821192053
51119,2014,2015,1,3.98,2.9266666666666663,3.02400002,1,728.643216080402
51119,2015,2016,0,3.5699999,3.5233332999999996,3.2960000000000003,1,728.2913369269281
51119,2016,2017,1,2.6500001,3.4,3.0,1,981.1320384478475
51119,2017,2018,0,4.9899998,3.7366665999999995,3.6419999599999997,1,981.9639672129848
51119,2018,2019,,2.4400001,3.36,3.5259999800000004,1,983.6065170653068
51125,2004,2005,0,3.3699999,2.7766666333333334,2.073999978,1,1127.5964726289753
51125,2005,2006,0,2.71,3.266666633333333,2.43799998,1,1476.0147601476015
51125,2006,2007,0,2.8499999,2.9766665999999997,2.77799996,1,1473.6842622345357
51125,2007,2008,0,2.3099999,2.6233332666666667,2.99199994,1,1471.8615355784214
51125,2008,2009,0,2.03,2.3966665999999996,2.65399994,1,1477.832512315271
51125,2009,2010,0,1.63,1.9899999666666666,2.30599996,1,1472.39263803681
51125,2010,2011,0,2.6800001,2.1133333666666663,2.29999998,1,1343.2835319670323
51125,2011,2012,0,2.71,2.3400000333333337,2.272,1,1771.217712177122
51125,2012,2013,0,0.56,1.9833333666666666,1.92200002,1,1785.7142857142856
